exam_type,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Level,Status
Java,What is the answer to question 1?,Option 1 for Q1,Option 2 for Q1,Option 3 for Q1,Option 4 for Q1,1,3,1
Java,What is the answer to question 2?,Option 1 for Q2,Option 2 for Q2,Option 3 for Q2,Option 4 for Q2,4,3,1
Java,What is the answer to question 3?,Option 1 for Q3,Option 2 for Q3,Option 3 for Q3,Option 4 for Q3,2,2,1
Java,What is the answer to question 4?,Option 1 for Q4,Option 2 for Q4,Option 3 for Q4,Option 4 for Q4,4,2,1
Java,What is the answer to question 5?,Option 1 for Q5,Option 2 for Q5,Option 3 for Q5,Option 4 for Q5,3,3,1
Java,What is the answer to question 6?,Option 1 for Q6,Option 2 for Q6,Option 3 for Q6,Option 4 for Q6,3,1,1
Java,What is the answer to question 7?,Option 1 for Q7,Option 2 for Q7,Option 3 for Q7,Option 4 for Q7,2,2,1
Java,What is the answer to question 8?,Option 1 for Q8,Option 2 for Q8,Option 3 for Q8,Option 4 for Q8,1,3,1
Java,What is the answer to question 9?,Option 1 for Q9,Option 2 for Q9,Option 3 for Q9,Option 4 for Q9,4,3,1
Java,What is the answer to question 10?,Option 1 for Q10,Option 2 for Q10,Option 3 for Q10,Option 4 for Q10,4,2,1
Java,What is the answer to question 11?,Option 1 for Q11,Option 2 for Q11,Option 3 for Q11,Option 4 for Q11,2,2,1
Java,What is the answer to question 12?,Option 1 for Q12,Option 2 for Q12,Option 3 for Q12,Option 4 for Q12,3,1,1
Java,What is the answer to question 13?,Option 1 for Q13,Option 2 for Q13,Option 3 for Q13,Option 4 for Q13,3,2,1
Java,What is the answer to question 14?,Option 1 for Q14,Option 2 for Q14,Option 3 for Q14,Option 4 for Q14,3,2,1
Java,What is the answer to question 15?,Option 1 for Q15,Option 2 for Q15,Option 3 for Q15,Option 4 for Q15,1,3,1
Java,What is the answer to question 16?,Option 1 for Q16,Option 2 for Q16,Option 3 for Q16,Option 4 for Q16,1,1,1
Java,What is the answer to question 17?,Option 1 for Q17,Option 2 for Q17,Option 3 for Q17,Option 4 for Q17,4,1,1
Java,What is the answer to question 18?,Option 1 for Q18,Option 2 for Q18,Option 3 for Q18,Option 4 for Q18,2,2,1
Java,What is the answer to question 19?,Option 1 for Q19,Option 2 for Q19,Option 3 for Q19,Option 4 for Q19,1,1,1
Java,What is the answer to question 20?,Option 1 for Q20,Option 2 for Q20,Option 3 for Q20,Option 4 for Q20,4,2,1
Java,What is the answer to question 21?,Option 1 for Q21,Option 2 for Q21,Option 3 for Q21,Option 4 for Q21,3,3,1
Java,What is the answer to question 22?,Option 1 for Q22,Option 2 for Q22,Option 3 for Q22,Option 4 for Q22,3,3,1
Java,What is the answer to question 23?,Option 1 for Q23,Option 2 for Q23,Option 3 for Q23,Option 4 for Q23,4,3,1
Java,What is the answer to question 24?,Option 1 for Q24,Option 2 for Q24,Option 3 for Q24,Option 4 for Q24,3,2,1
Java,What is the answer to question 25?,Option 1 for Q25,Option 2 for Q25,Option 3 for Q25,Option 4 for Q25,1,3,1
Java,What is the answer to question 26?,Option 1 for Q26,Option 2 for Q26,Option 3 for Q26,Option 4 for Q26,4,3,1
Java,What is the answer to question 27?,Option 1 for Q27,Option 2 for Q27,Option 3 for Q27,Option 4 for Q27,1,3,1
Java,What is the answer to question 28?,Option 1 for Q28,Option 2 for Q28,Option 3 for Q28,Option 4 for Q28,3,3,1
Java,What is the answer to question 29?,Option 1 for Q29,Option 2 for Q29,Option 3 for Q29,Option 4 for Q29,3,3,1
Java,What is the answer to question 30?,Option 1 for Q30,Option 2 for Q30,Option 3 for Q30,Option 4 for Q30,3,1,1
Java,What is the answer to question 31?,Option 1 for Q31,Option 2 for Q31,Option 3 for Q31,Option 4 for Q31,2,3,1
Java,What is the answer to question 32?,Option 1 for Q32,Option 2 for Q32,Option 3 for Q32,Option 4 for Q32,2,3,1
Java,What is the answer to question 33?,Option 1 for Q33,Option 2 for Q33,Option 3 for Q33,Option 4 for Q33,4,2,1
Java,What is the answer to question 34?,Option 1 for Q34,Option 2 for Q34,Option 3 for Q34,Option 4 for Q34,3,1,1
Java,What is the answer to question 35?,Option 1 for Q35,Option 2 for Q35,Option 3 for Q35,Option 4 for Q35,2,3,1
Java,What is the answer to question 36?,Option 1 for Q36,Option 2 for Q36,Option 3 for Q36,Option 4 for Q36,3,1,1
Java,What is the answer to question 37?,Option 1 for Q37,Option 2 for Q37,Option 3 for Q37,Option 4 for Q37,3,3,1
Java,What is the answer to question 38?,Option 1 for Q38,Option 2 for Q38,Option 3 for Q38,Option 4 for Q38,2,3,1
Java,What is the answer to question 39?,Option 1 for Q39,Option 2 for Q39,Option 3 for Q39,Option 4 for Q39,2,1,1
Java,What is the answer to question 40?,Option 1 for Q40,Option 2 for Q40,Option 3 for Q40,Option 4 for Q40,1,2,1
Java,What is the answer to question 41?,Option 1 for Q41,Option 2 for Q41,Option 3 for Q41,Option 4 for Q41,4,2,1
Java,What is the answer to question 42?,Option 1 for Q42,Option 2 for Q42,Option 3 for Q42,Option 4 for Q42,1,1,1
Java,What is the answer to question 43?,Option 1 for Q43,Option 2 for Q43,Option 3 for Q43,Option 4 for Q43,1,2,1
Java,What is the answer to question 44?,Option 1 for Q44,Option 2 for Q44,Option 3 for Q44,Option 4 for Q44,3,2,1
Java,What is the answer to question 45?,Option 1 for Q45,Option 2 for Q45,Option 3 for Q45,Option 4 for Q45,4,1,1
Java,What is the answer to question 46?,Option 1 for Q46,Option 2 for Q46,Option 3 for Q46,Option 4 for Q46,1,3,1
Java,What is the answer to question 47?,Option 1 for Q47,Option 2 for Q47,Option 3 for Q47,Option 4 for Q47,4,2,1
Java,What is the answer to question 48?,Option 1 for Q48,Option 2 for Q48,Option 3 for Q48,Option 4 for Q48,4,2,1
Java,What is the answer to question 49?,Option 1 for Q49,Option 2 for Q49,Option 3 for Q49,Option 4 for Q49,4,3,1
Java,What is the answer to question 50?,Option 1 for Q50,Option 2 for Q50,Option 3 for Q50,Option 4 for Q50,1,1,1
